[134.34973   54.486927]
[171.84567 103.02109]
[148.33499  87.64107]
[152.41342   99.485596]
[150.12552  92.54576]
[123.4035    90.830185]
[66.65117  38.744827]
[172.23558 105.58371]
[158.86362   99.831436]
[186.133   106.65108]
[139.78856  63.64153]
[133.888     53.739155]
[150.5366   93.23775]
[155.87627  98.54919]
[146.31685  70.22143]
[134.20651  62.40347]
[144.26746  84.35389]
[169.10097  98.46648]
[180.1624  105.97491]
[116.8836   55.25853]
[133.30429  62.89611]
[141.07555  80.59378]
[125.29868   16.570324]
[105.5673    48.716057]
[10.1980715 35.4461   ]
[162.98627   10.284428]
[161.7217  101.80725]
[140.95242   88.190575]
[78.55809  46.342476]
[119.075584  50.198914]
[103.379105  48.407585]
[132.09195   61.052036]
[64.2094  83.92703]
[119.37887  70.37789]
[169.80052 103.87666]
[68.54548 80.86308]
[137.69305   58.792725]
[153.13309  85.34507]
[107.32257   49.183918]
[133.11856   61.747467]
[143.76859   89.550644]
[106.944954  52.469032]
[110.32283   49.122704]
[130.6116    51.833645]
[172.32898   96.620995]
[151.09616  76.07842]
[100.28393   45.742413]
[107.17083   23.629784]
[139.52171   77.193504]
[178.14745 101.44546]
[141.71423   89.208405]
[140.43727   51.504055]
[119.183624  49.798786]
[106.80726   66.027534]
[152.9684  101.18233]
[114.982506  51.243717]
[173.87158 107.67286]
[147.48404  79.94291]
[147.01541  87.67083]
[163.34409  94.06968]
[123.6792    83.776474]
[40.137424 75.69767 ]
[142.61127  72.55836]
[134.44026   53.571373]
[71.98711 61.46502]
[30.722723 72.02104 ]
[143.731    90.49644]
[176.13019  99.48348]
[160.91086  102.605576]
[77.1871  67.89764]
[136.99838   62.208874]
[99.5652  48.73965]
[76.69985 84.72939]
[111.47772  46.44557]
[147.06734  79.52861]
[129.14436   52.232655]
[123.000496  73.39733 ]
[107.47241  51.57774]
[134.87341   66.478645]
[122.7367    27.161396]
[108.831085  50.81525 ]
[149.33871  86.74093]
[144.84048  79.87764]
[68.67396  56.559933]
[170.08725 100.4984 ]
[103.92128  52.07672]
[165.53836  92.92894]
[146.13719 107.24087]
[69.6244   61.820175]
[140.99252  80.98828]
[10.808278 78.41813 ]
[143.87967  89.21177]
[174.79518   99.018166]
[144.18515 102.13047]
[135.20876   58.256886]
[142.23502 101.85835]
[139.58556   59.393982]
[118.20435   53.014023]
[163.18394 102.74326]
[153.81941  94.50352]
